ETD,Date,Tot Daily Flt,departureoveralldelaytime,IROP,Dep snowcm,Dep DewPointC,Dep cloudcover,Dep humidity,Dep precipMM,Dep pressure,Dep tempC,Dep visibility,Temp Dew Spread,Dep Wx,Dep Wy,Dep Gust Wx,Dep Gust Wy,Arr snowcm,Arr DewPointC,Arr cloudcover,Arr humidity,Arr precipMM,Arr pressure,Arr tempC,Arr visibility,Arr Temp Dew Spread,Arr Gust Wx,Arr Gust Wy,Dep Drizzle,Dep Ice,TS,FZ Rain,Rain,Snow,Fog,Haze
1030,101,66,29,1,0.0,-2,60,82,0.0,1009,0,10,2,3.062395902787092,-1.9135973430643545,7.773774214767232,-4.857593255471053,10.5,-6,96,85,1.9,1008,-4,6,2,8.724395046632804,-7.320636665874479,0,0,0,0,0,0,0,0
1130,101,66,15,1,0.0,-2,60,81,0.0,1012,0,10,2,3.5715304195921336,-2.1459919787918937,7.381162867157077,-4.435050089503247,10.5,-7,92,83,0.0,1010,-5,8,2,8.257164727526602,-7.434784515098423,0,0,0,0,0,0,0,0
1250,101,66,25,1,0.0,-2,60,80,0.0,1014,0,10,2,4.089564406759848,-2.3611111111111134,7.216878364870321,-4.166666666666671,10.5,-7,89,80,0.0,1011,-5,10,2,7.992664448207233,-7.718426338433306,0,0,0,0,0,0,0,0
1355,101,66,3,0,0.0,-4,46,76,0.0,1016,-1,10,3,4.373098535696979,-2.4240481012316843,7.045547640845133,-3.9054108297621584,10.5,-7,76,80,0.0,1012,-5,10,2,7.719844628202357,-7.1988715784374815,0,0,0,0,0,0,0,0
1430,101,66,19,1,0.0,-5,33,73,0.0,1017,-1,10,4,4.6600011845332245,-2.477766581369979,6.867370166680543,-3.6514454883347054,10.5,-7,64,80,0.0,1012,-6,10,1,7.313537016191707,-6.819983600624982,0,0,0,0,0,0,0,0
1735,101,66,30,1,0.0,-8,13,68,0.0,1022,-4,10,4,4.698463103929543,-1.7101007166283426,6.525643199902143,-2.375139884206032,10.5,-9,27,76,0.0,1015,-6,10,3,5.892556509887897,-5.892556509887898,0,0,0,0,0,0,0,0
1855,101,66,4,0,0.0,-9,11,67,0.0,1023,-5,10,4,4.806308479691594,-1.3781867790849989,6.4084113062554575,-1.8375823721133318,10.5,-10,15,73,0.0,1016,-7,10,3,5.402898436903306,-5.594865113745068,0,0,0,0,0,0,0,0
2029,101,66,49,2,0.0,-11,14,65,0.0,1025,-6,10,5,4.3769233467209245,-0.7717696785196946,5.471154183401156,-0.964712098149618,10.5,-13,19,73,0.0,1019,-9,10,4,4.285250731243596,-5.106962954126521,0,0,0,0,0,0,0,0
645,102,75,11,1,0.2,-11,2,74,0.0,1028,-8,10,3,2.0882058239686856,0.7600447629459305,2.8712830079569422,1.0450615490506543,0.0,-23,40,79,0.0,1029,-21,10,2,0.8627301503417373,-3.2197527542968936,0,0,0,0,0,0,0,0
830,102,75,14,1,0.2,-11,3,70,0.0,1028,-8,10,3,1.3749298523071758,1.3749298523071756,1.9641855032959652,1.9641855032959648,0.0,-23,13,77,0.0,1030,-20,10,3,0.5197792270443964,-2.4453690018345147,0,0,0,0,0,0,0,0
